# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   RH
# 
  380,20170826,    0
  380,20170827,    0
  380,20170828,    0
  380,20170829,    0
  380,20170830,  182
  380,20170831,   52
  380,20170901,   -1
  380,20170902,    0
  380,20170903,    0
  380,20170904,    0
  380,20170905,    0
  380,20170906,   17
  380,20170907,   -1
  380,20170908,  276
  380,20170909,  110
  380,20170910,   -1
  380,20170911,    6
  380,20170912,   75
  380,20170913,   23
  380,20170914,  156
  380,20170915,   69
  380,20170916,    3
  380,20170917,   -1
  380,20170918,   58
  380,20170919,    0
  380,20170920,    0
  380,20170921,    0
  380,20170922,    4
  380,20170923,    0
  380,20170924,    0
  380,20170925,    0
  380,20170926,    0
  380,20170927,    0
  380,20170928,   27
  380,20170929,   18
  380,20170930,  241
  380,20171001,   -1
  380,20171002,   35
  380,20171003,    9
  380,20171004,    0
  380,20171005,   21
  380,20171006,    3
  380,20171007,   61
  380,20171008,   59
  380,20171009,   -1
  380,20171010,   16
  380,20171011,    0
  380,20171012,    1
  380,20171013,   -1
  380,20171014,    0
  380,20171015,    0
  380,20171016,   -1
  380,20171017,    0
  380,20171018,    0
  380,20171019,    1
  380,20171020,    8
  380,20171021,   25
  380,20171022,   34
  380,20171023,   -1
  380,20171024,   15
  380,20171025,   -1
  380,20171026,   10
  380,20171027,    1
  380,20171028,   16
  380,20171029,   47
  380,20171030,    0
  380,20171031,    1
  380,20171101,    0
  380,20171102,   -1
  380,20171103,    6
  380,20171104,    1
  380,20171105,   53
  380,20171106,    1
  380,20171107,    0
  380,20171108,   20
  380,20171109,   10
  380,20171110,   26
  380,20171111,   31
  380,20171112,   12
  380,20171113,    2
  380,20171114,    4
